item_id,restaurant_id,item_name,category,price,is_veg
1,1,Dal Makhani,Main Course,228.66,True
2,1,Gulab Jamun,Desserts,91.89,True
3,1,Butter Chicken,Main Course,392.84,False
4,1,Paneer Tikka,Starters,249.43,True
5,1,Naan,Breads,55.38,True
6,1,Lassi,Beverages,98.16,True
7,2,Grilled Chicken Salad,Main Course,296.55,False
8,2,Oats Bowl,Main Course,134.56,True
9,2,Smoothie Bowl,Beverages,242.99,True
10,2,Hummus Wrap,Main Course,199.96,True
11,2,Quinoa Bowl,Main Course,309.63,True
12,2,Protein Shake,Beverages,155.01,True
13,3,Manchurian,Starters,244.95,True
14,3,Sweet Corn Soup,Soups,116.65,True
15,3,Spring Rolls,Starters,144.51,True
16,3,Hakka Noodles,Main Course,166.18,True
17,4,Classic Burger,Main Course,156.37,False
18,4,Onion Rings,Sides,107.13,True
19,4,Chicken Wings,Starters,226.81,False
20,4,Veggie Wrap,Main Course,137.92,True
21,4,Milkshake,Beverages,130.12,True
22,4,French Fries,Sides,117.19,True
23,5,Veg Biryani,Main Course,245.72,True
24,5,Double Ka Meetha,Desserts,109.15,True
25,5,Salan,Sides,68.47,True
26,5,Kebab Platter,Starters,265.72,False
27,6,Naan,Breads,51.5,True
28,6,Dal Makhani,Main Course,243.84,True
29,6,Lassi,Beverages,107.67,True
30,6,Gulab Jamun,Desserts,90.63,True
31,6,Butter Chicken,Main Course,345.22,False
32,6,Paneer Tikka,Starters,292.12,True
33,7,Gulab Jamun,Desserts,98.63,True
34,7,Butter Chicken,Main Course,338.78,False
35,7,Lassi,Beverages,103.52,True
36,7,Naan,Breads,47.3,True
37,7,Paneer Tikka,Starters,214.37,True
38,8,Chocolate Brownie,Desserts,212.74,True
39,8,Cheesecake,Desserts,296.39,True
40,8,Ice Cream Sundae,Desserts,216.36,True
41,8,Waffle,Desserts,194.45,True
42,9,Salan,Sides,59.16,True
43,9,Double Ka Meetha,Desserts,110.66,True
44,9,Hyderabadi Chicken Biryani,Main Course,240.69,False
45,9,Veg Biryani,Main Course,233.46,True
46,9,Kebab Platter,Starters,300.84,False
47,10,Classic Burger,Main Course,144.62,False
48,10,Onion Rings,Sides,101.54,True
49,10,French Fries,Sides,114.57,True
50,11,Garlic Bread,Starters,163.27,True
51,11,Tiramisu,Desserts,196.02,True
52,11,Pasta Arrabiata,Main Course,232.43,True
53,11,Margherita Pizza,Main Course,261.15,True
54,12,Masala Dosa,Main Course,120.02,True
55,12,Vada,Starters,70.87,True
56,12,Idli Sambar,Main Course,71.87,True
57,12,Filter Coffee,Beverages,46.55,True
58,12,Uttapam,Main Course,126.59,True
59,12,Rasam,Soups,75.91,True
60,13,Cold Coffee,Beverages,146.6,True
61,13,Waffle,Desserts,235.67,True
62,13,Rasmalai,Desserts,105.14,True
63,13,Chocolate Brownie,Desserts,155.08,True
64,13,Ice Cream Sundae,Desserts,220.68,True
65,13,Cheesecake,Desserts,303.87,True
66,14,Vada Pav,Main Course,37.94,True
67,14,Chole Bhature,Main Course,128.63,True
68,14,Pav Bhaji,Main Course,116.41,True
69,15,Cold Coffee,Beverages,174.47,True
70,15,Rasmalai,Desserts,108.83,True
71,15,Waffle,Desserts,234.56,True
72,15,Chocolate Brownie,Desserts,165.11,True
73,15,Cheesecake,Desserts,237.02,True
74,16,Cold Coffee,Beverages,166.68,True
75,16,Rasmalai,Desserts,110.03,True
76,16,Chocolate Brownie,Desserts,157.33,True
77,16,Waffle,Desserts,268.12,True
78,16,Ice Cream Sundae,Desserts,191.86,True
79,16,Cheesecake,Desserts,237.59,True
80,17,Mushroom Soup,Soups,155.24,True
81,17,Caesar Salad,Starters,221.79,True
82,17,Iced Tea,Beverages,80.93,True
83,17,Grilled Sandwich,Main Course,163.05,True
84,17,Fish & Chips,Main Course,375.41,False
85,17,Pancakes,Desserts,192.36,True
86,18,Caesar Salad,Starters,273.21,True
87,18,Pancakes,Desserts,226.62,True
88,18,Mushroom Soup,Soups,153.47,True
89,18,Fish & Chips,Main Course,390.22,False
90,18,Iced Tea,Beverages,88.08,True
91,18,Grilled Sandwich,Main Course,168.16,True
92,19,Hakka Noodles,Main Course,153.31,True
93,19,Manchurian,Starters,170.77,True
94,19,Chilli Chicken,Starters,220.66,False
95,19,Fried Rice,Main Course,182.29,True
96,19,Sweet Corn Soup,Soups,135.43,True
97,20,Naan,Breads,54.32,True
98,20,Gulab Jamun,Desserts,94.11,True
99,20,Butter Chicken,Main Course,328.98,False
100,20,Paneer Tikka,Starters,224.84,True
101,20,Lassi,Beverages,111.49,True
102,20,Dal Makhani,Main Course,220.12,True
103,21,Rasmalai,Desserts,119.78,True
104,21,Ice Cream Sundae,Desserts,185.44,True
105,21,Chocolate Brownie,Desserts,153.67,True
106,21,Waffle,Desserts,252.4,True
107,21,Cold Coffee,Beverages,173.01,True
108,22,Ice Cream Sundae,Desserts,188.74,True
109,22,Chocolate Brownie,Desserts,188.55,True
110,22,Cheesecake,Desserts,248.8,True
111,22,Rasmalai,Desserts,115.48,True
112,22,Cold Coffee,Beverages,181.77,True
113,23,Margherita Pizza,Main Course,358.19,True
114,23,Pasta Arrabiata,Main Course,290.96,True
115,23,Tiramisu,Desserts,209.52,True
116,23,Lemonade,Beverages,107.07,True
117,24,Grilled Sandwich,Main Course,157.68,True
118,24,Pancakes,Desserts,190.77,True
119,24,Caesar Salad,Starters,237.15,True
120,24,Mushroom Soup,Soups,150.59,True
121,25,Idli Sambar,Main Course,68.06,True
122,25,Masala Dosa,Main Course,122.5,True
123,25,Vada,Starters,67.15,True
124,25,Filter Coffee,Beverages,55.5,True
125,25,Rasam,Soups,83.41,True
126,26,Salan,Sides,62.89,True
127,26,Kebab Platter,Starters,317.07,False
128,26,Raita,Sides,43.37,True
129,26,Hyderabadi Chicken Biryani,Main Course,318.78,False
130,26,Veg Biryani,Main Course,191.13,True
131,27,Double Ka Meetha,Desserts,118.07,True
132,27,Salan,Sides,72.12,True
133,27,Raita,Sides,58.65,True
134,27,Hyderabadi Chicken Biryani,Main Course,348.91,False
135,27,Veg Biryani,Main Course,206.86,True
136,27,Kebab Platter,Starters,337.75,False
137,28,Manchurian,Starters,196.34,True
138,28,Chilli Chicken,Starters,210.03,False
139,28,Sweet Corn Soup,Soups,132.01,True
140,29,Milkshake,Beverages,141.31,True
141,29,Onion Rings,Sides,121.06,True
142,29,Classic Burger,Main Course,147.56,False
143,30,Dal Makhani,Main Course,260.26,True
144,30,Butter Chicken,Main Course,377.17,False
145,30,Naan,Breads,47.6,True
146,30,Gulab Jamun,Desserts,75.58,True
147,30,Lassi,Beverages,79.12,True
148,31,Hakka Noodles,Main Course,180.17,True
149,31,Spring Rolls,Starters,180.91,True
150,31,Chilli Chicken,Starters,270.56,False
151,31,Sweet Corn Soup,Soups,139.57,True
152,31,Fried Rice,Main Course,148.72,True
153,31,Manchurian,Starters,234.19,True
154,32,Mushroom Soup,Soups,140.21,True
155,32,Pancakes,Desserts,224.21,True
156,32,Fish & Chips,Main Course,375.8,False
157,33,Filter Coffee,Beverages,47.16,True
158,33,Rasam,Soups,76.29,True
159,33,Masala Dosa,Main Course,133.67,True
160,33,Vada,Starters,51.25,True
161,33,Idli Sambar,Main Course,80.29,True
162,34,Double Ka Meetha,Desserts,126.83,True
163,34,Kebab Platter,Starters,325.54,False
164,34,Hyderabadi Chicken Biryani,Main Course,250.1,False
165,34,Veg Biryani,Main Course,188.08,True
166,34,Salan,Sides,68.12,True
167,34,Raita,Sides,54.36,True
168,35,Protein Shake,Beverages,183.31,True
169,35,Quinoa Bowl,Main Course,364.75,True
170,35,Smoothie Bowl,Beverages,256.96,True
171,35,Oats Bowl,Main Course,142.09,True
172,36,Masala Dosa,Main Course,130.06,True
173,36,Idli Sambar,Main Course,84.42,True
174,36,Vada,Starters,66.64,True
175,37,Vada,Starters,58.41,True
176,37,Uttapam,Main Course,108.59,True
177,37,Idli Sambar,Main Course,79.8,True
178,37,Masala Dosa,Main Course,102.39,True
179,37,Filter Coffee,Beverages,54.23,True
180,38,Butter Chicken,Main Course,316.01,False
181,38,Dal Makhani,Main Course,272.93,True
182,38,Lassi,Beverages,99.56,True
183,38,Gulab Jamun,Desserts,74.44,True
184,39,Vada,Starters,67.67,True
185,39,Idli Sambar,Main Course,99.42,True
186,39,Filter Coffee,Beverages,54.5,True
187,40,Uttapam,Main Course,111.92,True
188,40,Rasam,Soups,64.04,True
189,40,Vada,Starters,61.9,True
190,40,Filter Coffee,Beverages,58.28,True
191,40,Idli Sambar,Main Course,69.35,True
192,41,Butter Chicken,Main Course,351.86,False
193,41,Dal Makhani,Main Course,208.03,True
194,41,Gulab Jamun,Desserts,91.51,True
195,41,Naan,Breads,55.4,True
196,42,Oats Bowl,Main Course,177.07,True
197,42,Hummus Wrap,Main Course,170.54,True
198,42,Quinoa Bowl,Main Course,273.27,True
199,42,Protein Shake,Beverages,178.77,True
200,42,Grilled Chicken Salad,Main Course,300.13,False
201,43,Paneer Tikka,Starters,271.07,True
202,43,Naan,Breads,52.03,True
203,43,Dal Makhani,Main Course,190.86,True
204,43,Lassi,Beverages,77.57,True
205,44,Paneer Tikka,Starters,284.38,True
206,44,Dal Makhani,Main Course,216.9,True
207,44,Gulab Jamun,Desserts,85.74,True
208,44,Naan,Breads,41.46,True
209,45,Veg Biryani,Main Course,188.85,True
210,45,Raita,Sides,56.05,True
211,45,Hyderabadi Chicken Biryani,Main Course,280.44,False
212,46,Vada Pav,Main Course,41.3,True
213,46,Pani Puri,Starters,59.87,True
214,46,Jalebi,Desserts,69.93,True
215,47,Uttapam,Main Course,96.38,True
216,47,Rasam,Soups,63.54,True
217,47,Filter Coffee,Beverages,60.98,True
218,47,Vada,Starters,70.08,True
219,48,Protein Shake,Beverages,196.17,True
220,48,Hummus Wrap,Main Course,248.16,True
221,48,Smoothie Bowl,Beverages,236.95,True
222,48,Quinoa Bowl,Main Course,277.91,True
223,49,Pancakes,Desserts,189.77,True
224,49,Mushroom Soup,Soups,176.29,True
225,49,Caesar Salad,Starters,211.65,True
226,49,Fish & Chips,Main Course,315.2,False
227,50,Pani Puri,Starters,63.21,True
228,50,Pav Bhaji,Main Course,115.05,True
229,50,Samosa,Starters,33.24,True
230,50,Vada Pav,Main Course,42.15,True
231,50,Chole Bhature,Main Course,125.93,True
232,50,Jalebi,Desserts,72.5,True
233,51,Lassi,Beverages,93.56,True
234,51,Paneer Tikka,Starters,270.62,True
235,51,Naan,Breads,49.74,True
236,51,Gulab Jamun,Desserts,93.3,True
237,51,Dal Makhani,Main Course,244.18,True
238,52,Idli Sambar,Main Course,80.67,True
239,52,Rasam,Soups,68.07,True
240,52,Filter Coffee,Beverages,60.27,True
241,52,Masala Dosa,Main Course,129.43,True
242,53,Fried Rice,Main Course,164.56,True
243,53,Sweet Corn Soup,Soups,126.9,True
244,53,Hakka Noodles,Main Course,169.57,True
245,53,Spring Rolls,Starters,129.97,True
246,53,Chilli Chicken,Starters,253.18,False
247,54,Filter Coffee,Beverages,49.85,True
248,54,Rasam,Soups,73.43,True
249,54,Uttapam,Main Course,105.51,True
250,54,Idli Sambar,Main Course,68.79,True
251,54,Vada,Starters,61.6,True
252,55,Iced Tea,Beverages,106.83,True
253,55,Grilled Sandwich,Main Course,189.92,True
254,55,Mushroom Soup,Soups,177.19,True
255,55,Pancakes,Desserts,232.87,True
256,55,Caesar Salad,Starters,268.54,True
257,56,Chocolate Brownie,Desserts,155.76,True
258,56,Waffle,Desserts,204.63,True
259,56,Cheesecake,Desserts,232.16,True
260,57,Cheesecake,Desserts,312.34,True
261,57,Waffle,Desserts,253.21,True
262,57,Cold Coffee,Beverages,171.89,True
263,57,Chocolate Brownie,Desserts,218.69,True
264,57,Rasmalai,Desserts,102.41,True
265,58,Cheesecake,Desserts,259.7,True
266,58,Waffle,Desserts,232.11,True
