order_item_id,order_id,item_id,quantity,item_price,subtotal
1,1,822,2,235.68,471.36
2,1,825,2,168.79,337.58
3,1,823,2,235.27,470.54
4,1,824,2,175.76,351.52
5,2,183,1,74.44,74.44
6,2,182,3,99.56,298.68
7,3,731,1,86.37,86.37
8,3,733,1,89.75,89.75
9,3,734,1,31.37,31.37
10,4,53,1,261.15,261.15
11,4,50,1,163.27,163.27
12,5,791,1,260.78,260.78
13,5,792,2,211.9,423.8
14,5,795,1,165.02,165.02
15,6,832,2,352.61,705.22
16,6,831,2,186.31,372.62
17,7,315,1,57.91,57.91
18,8,669,2,55.29,110.58
19,8,668,1,229.57,229.57
20,9,662,1,139.57,139.57
21,9,659,1,99.34,99.34
22,10,703,1,90.15,90.15
23,10,701,1,196.96,196.96
24,11,650,2,66.55,133.1
25,11,648,2,79.5,159.0
26,12,414,1,114.05,114.05
27,12,417,2,61.18,122.36
28,13,383,2,155.38,310.76
29,14,386,2,216.8,433.6
30,15,782,1,260.31,260.31
31,16,775,2,290.38,580.76
32,16,776,1,159.23,159.23
33,16,778,3,222.02,666.06
34,17,405,2,398.51,797.02
35,17,402,2,83.91,167.82
36,18,66,1,37.94,37.94
37,18,67,1,128.63,128.63
38,18,68,2,116.41,232.82
39,19,711,3,314.05,942.15
40,19,712,2,89.24,178.48
41,19,709,1,218.31,218.31
42,20,725,2,187.51,375.02
43,20,727,1,226.74,226.74
44,21,485,1,325.28,325.28
45,21,482,3,120.13,360.39
46,21,481,1,58.04,58.04
47,22,21,1,130.12,130.12
48,22,18,3,107.13,321.39
49,22,22,1,117.19,117.19
50,23,155,1,224.21,224.21
51,24,841,3,82.37,247.11
52,24,842,2,230.27,460.54
53,24,843,1,322.46,322.46
54,25,400,1,351.35,351.35
55,25,401,1,207.04,207.04
56,26,459,1,224.56,224.56
57,27,203,3,190.86,572.58
58,27,202,1,52.03,52.03
59,27,204,2,77.57,155.14
60,28,327,2,87.29,174.58
61,28,331,1,35.68,35.68
62,29,246,3,253.18,759.54
63,29,244,1,169.57,169.57
64,30,639,2,217.34,434.68
65,30,638,1,182.04,182.04
66,30,641,1,273.99,273.99
67,31,712,1,89.24,89.24
68,31,714,2,54.27,108.54
69,32,825,2,168.79,337.58
70,32,822,1,235.68,235.68
71,32,824,2,175.76,351.52
72,32,821,1,97.99,97.99
73,33,679,1,93.55,93.55
74,34,278,2,216.2,432.4
75,34,279,3,108.16,324.48
76,34,275,1,185.4,185.4
77,35,363,1,60.73,60.73
78,35,364,1,63.3,63.3
79,36,358,2,86.12,172.24
80,36,361,1,224.4,224.4
81,36,357,2,231.23,462.46
82,36,360,1,352.28,352.28
83,37,377,1,308.4,308.4
84,37,381,1,168.17,168.17
85,38,175,1,58.41,58.41
86,38,179,1,54.23,54.23
87,38,176,1,108.59,108.59
88,39,682,1,111.39,111.39
89,39,681,3,61.45,184.35
90,39,684,2,62.02,124.04
91,40,333,1,310.46,310.46
92,40,334,3,193.44,580.32
93,40,336,3,321.97,965.91
94,40,332,1,63.15,63.15
95,41,50,2,163.27,326.54
96,41,52,1,232.43,232.43
97,41,51,1,196.02,196.02
98,41,53,3,261.15,783.45
99,42,15,1,144.51,144.51
100,43,726,1,144.41,144.41
101,43,728,2,160.97,321.94
102,44,226,1,315.2,315.2
103,44,223,1,189.77,189.77
104,45,846,1,339.82,339.82
105,46,894,1,364.88,364.88
106,47,158,3,76.29,228.87
107,47,160,3,51.25,153.75
108,48,409,3,245.84,737.52
109,49,635,1,44.6,44.6
110,49,636,2,60.75,121.5
111,49,633,1,126.51,126.51
112,50,337,3,141.59,424.77
113,51,801,3,86.0,258.0
114,51,803,1,120.22,120.22
115,52,540,1,195.02,195.02
116,52,539,1,291.38,291.38
117,52,541,1,171.0,171.0
118,53,314,1,137.39,137.39
119,53,318,1,316.44,316.44
120,54,898,2,73.29,146.58
121,54,900,1,113.05,113.05
122,55,802,2,50.3,100.6
123,56,890,1,222.09,222.09
124,56,892,1,310.16,310.16
125,56,891,1,192.28,192.28
126,57,729,1,144.59,144.59
127,58,90,1,88.08,88.08
128,58,91,1,168.16,168.16
129,59,213,1,59.87,59.87
130,60,427,1,320.27,320.27
131,60,428,1,184.06,184.06
132,60,430,1,97.23,97.23
133,61,668,3,229.57,688.71
134,61,670,2,221.28,442.56
135,62,276,1,236.14,236.14
136,62,274,2,233.46,466.92
137,63,203,1,190.86,190.86
138,63,204,3,77.57,232.71
139,64,617,2,69.96,139.92
140,64,614,2,74.03,148.06
141,65,620,1,170.43,170.43
142,66,117,1,157.68,157.68
143,66,119,3,237.15,711.45
144,66,120,2,150.59,301.18
145,66,118,1,190.77,190.77
146,67,276,3,236.14,708.42
147,67,279,1,108.16,108.16
148,67,277,1,149.98,149.98
149,67,274,2,233.46,466.92
150,68,249,1,105.51,105.51
151,69,551,1,74.52,74.52
152,69,548,2,34.99,69.98
153,70,253,1,189.92,189.92
154,70,256,1,268.54,268.54
155,71,61,1,235.67,235.67
156,72,368,1,205.81,205.81
157,73,270,1,95.07,95.07
158,73,272,3,403.57,1210.71
159,74,782,2,260.31,520.62
160,74,780,2,172.06,344.12
161,75,347,2,117.02,234.04
162,75,346,2,116.12,232.24
163,76,327,1,87.29,87.29
164,76,330,1,26.42,26.42
165,76,329,1,74.89,74.89
166,77,839,1,97.01,97.01
167,77,836,2,46.52,93.04
168,78,271,1,256.17,256.17
169,78,272,1,403.57,403.57
170,78,273,2,205.02,410.04
171,78,270,2,95.07,190.14
172,79,482,1,120.13,120.13
173,79,486,1,229.05,229.05
174,79,483,1,269.0,269.0
175,80,477,2,91.39,182.78
176,80,480,1,266.4,266.4
177,80,478,1,126.9,126.9
178,81,284,1,109.38,109.38
179,82,804,1,299.88,299.88
180,82,807,1,291.56,291.56
181,83,494,1,269.46,269.46
182,83,497,1,189.17,189.17
183,83,493,1,147.69,147.69
184,84,351,2,147.39,294.78
185,84,350,2,92.36,184.72
186,84,352,1,249.87,249.87
187,85,894,1,364.88,364.88
188,85,896,1,98.16,98.16
189,86,234,1,270.62,270.62
190,86,233,2,93.56,187.12
191,87,320,1,197.48,197.48
192,88,568,1,251.47,251.47
193,89,265,1,259.7,259.7
194,89,269,1,181.62,181.62
195,90,441,1,268.1,268.1
196,91,364,1,63.3,63.3
197,91,363,1,60.73,60.73
198,92,717,1,317.43,317.43
199,93,356,1,69.56,69.56
200,94,135,1,206.86,206.86
201,94,131,2,118.07,236.14
202,94,136,3,337.75,1013.25
203,95,571,1,235.2,235.2
204,95,572,1,218.69,218.69
205,95,570,2,310.29,620.58
206,96,700,1,84.6,84.6
207,96,699,3,264.85,794.55
208,96,696,1,271.89,271.89
209,97,37,1,214.37,214.37
210,97,34,3,338.78,1016.34
211,98,891,1,192.28,192.28
212,99,319,1,184.37,184.37
213,99,321,3,276.16,828.48
214,99,322,1,100.39,100.39
215,100,166,2,68.12,136.24
216,100,165,2,188.08,376.16
217,100,167,1,54.36,54.36
