order_id,user_id,restaurant_id,order_date,order_amount,discount,final_amount,status,rating
1,582,180,2025-07-27 11:26:56,1631.0,0,1631.0,Delivered,3
2,12,38,2025-06-20 15:30:47,373.12,0,373.12,Delivered,
3,876,159,2025-01-16 08:32:49,207.49,20.75,186.74,Delivered,
4,275,11,2025-06-09 10:59:50,424.42,0,424.42,Delivered,
5,435,173,2025-12-22 12:17:45,849.6,0,849.6,Delivered,5
6,457,182,2025-05-17 19:53:19,1077.84,0,1077.84,Delivered,
7,735,68,2025-07-06 18:13:08,57.91,0,57.91,Cancelled,
8,620,146,2025-05-02 13:07:29,340.15,0,340.15,Delivered,4
9,330,144,2025-08-19 21:37:55,238.91,0,238.91,Delivered,
10,873,153,2025-10-06 16:31:42,287.11,0,287.11,Delivered,5
11,364,141,2025-09-15 11:52:29,292.1,0,292.1,Delivered,5
12,86,90,2025-01-13 07:35:25,236.41,35.46,200.95,Delivered,
13,314,83,2025-04-17 14:03:37,310.76,0,310.76,Delivered,2
14,599,83,2025-11-04 13:59:41,433.6,65.04,368.56,Cancelled,
15,823,170,2025-02-18 13:33:16,260.31,0,260.31,Delivered,4
16,479,169,2025-05-21 13:34:22,1406.05,140.6,1265.45,Delivered,4
17,6,87,2025-07-12 12:35:50,964.84,0,964.84,Delivered,3
18,683,14,2025-11-29 18:24:32,399.39,19.97,379.42,Delivered,
19,143,155,2025-06-29 14:09:17,1338.94,66.95,1271.99,Delivered,4
20,12,158,2025-12-07 18:40:50,601.76,0,601.76,Delivered,
21,360,104,2025-11-18 21:42:42,743.71,148.74,594.97,Delivered,
22,765,4,2025-04-09 13:36:19,568.7,0,568.7,Delivered,4
23,77,32,2025-11-25 13:27:16,224.21,0,224.21,Delivered,
24,82,184,2025-06-25 16:23:47,1030.11,154.52,875.59,Delivered,4
25,650,86,2025-11-10 20:04:15,558.39,0,558.39,Cancelled,
26,868,99,2025-04-16 20:46:38,224.56,0,224.56,Delivered,4
27,60,43,2025-07-12 23:02:59,779.75,0,779.75,Delivered,2
28,105,71,2025-06-02 20:09:20,210.26,0,210.26,Delivered,2
29,8,53,2025-11-16 12:05:29,929.11,46.46,882.65,Cancelled,
30,795,139,2025-04-15 18:43:23,890.71,0,890.71,Delivered,3
31,284,155,2025-11-12 14:04:45,197.78,0,197.78,Delivered,5
32,18,180,2025-11-12 20:07:22,1022.77,0,1022.77,Delivered,4
33,669,148,2025-07-14 19:30:03,93.55,0,93.55,Delivered,5
34,908,60,2025-09-03 11:45:22,942.28,0,942.28,Delivered,
35,234,79,2025-05-31 21:09:24,124.03,6.2,117.83,Delivered,5
36,397,78,2025-05-01 20:37:32,1211.38,0,1211.38,Cancelled,
37,138,82,2025-08-04 12:19:06,476.57,23.83,452.74,Delivered,3
38,154,37,2025-05-08 19:54:05,221.23,0,221.23,Delivered,5
39,831,149,2025-05-09 22:03:32,419.78,83.96,335.82,Delivered,4
40,742,72,2025-12-15 20:29:48,1919.84,0,1919.84,Delivered,3
41,271,11,2025-09-27 21:56:00,1538.44,0,1538.44,Delivered,3
42,540,3,2025-02-22 11:33:02,144.51,0,144.51,Delivered,4
43,409,158,2025-02-04 19:57:06,466.35,0,466.35,Delivered,5
44,278,49,2025-04-10 17:13:57,504.97,0,504.97,Delivered,2
45,976,185,2025-10-18 10:58:01,339.82,0,339.82,Delivered,
46,505,196,2025-12-16 20:09:24,364.88,72.98,291.9,Delivered,4
47,855,33,2025-03-17 11:12:26,382.62,0,382.62,Cancelled,
48,392,88,2025-06-03 12:57:13,737.52,0,737.52,Delivered,
49,24,138,2025-03-02 12:12:51,292.61,0,292.61,Delivered,4
50,732,73,2025-10-04 15:36:09,424.77,0,424.77,Delivered,
51,915,175,2025-07-02 09:49:32,378.22,18.91,359.31,Delivered,
52,505,116,2025-03-12 14:21:52,657.4,0,657.4,Delivered,5
53,927,68,2025-08-11 12:39:56,453.83,90.77,363.06,Delivered,2
54,383,197,2025-10-28 22:00:55,259.63,0,259.63,Delivered,2
55,964,175,2025-06-15 10:22:11,100.6,0,100.6,Delivered,5
56,125,195,2025-11-06 22:02:07,724.53,0,724.53,Delivered,3
57,642,158,2025-05-21 13:19:42,144.59,0,144.59,Delivered,5
58,568,18,2025-08-31 21:11:29,256.24,0,256.24,Delivered,5
59,210,46,2025-08-19 13:42:03,59.87,0,59.87,Delivered,5
60,474,93,2025-10-01 12:06:38,601.56,120.31,481.25,Delivered,3
61,650,146,2025-03-24 11:31:35,1131.27,0,1131.27,Delivered,
62,780,60,2025-04-02 20:07:39,703.06,0,703.06,Cancelled,
63,255,43,2025-07-02 13:21:02,423.57,0,423.57,Delivered,
64,748,133,2025-01-16 21:23:08,287.98,0,287.98,Delivered,5
65,765,134,2025-08-23 12:06:00,170.43,25.56,144.87,Delivered,
66,855,24,2025-03-10 18:29:39,1361.08,0,1361.08,Delivered,
67,46,60,2025-12-07 19:59:06,1433.48,0,1433.48,Delivered,
68,842,54,2025-02-28 22:27:52,105.51,10.55,94.96,Delivered,4
69,555,118,2025-10-07 21:49:15,144.5,21.68,122.82,Delivered,
70,34,55,2025-09-11 10:43:56,458.46,0,458.46,Delivered,1
71,987,13,2025-12-15 21:02:27,235.67,47.13,188.54,Delivered,4
72,261,80,2025-11-12 19:32:17,205.81,0,205.81,Delivered,3
73,964,59,2025-03-09 11:27:49,1305.78,65.29,1240.49,Delivered,5
74,135,170,2025-03-05 12:25:33,864.74,0,864.74,Delivered,
75,645,75,2025-09-08 14:58:20,466.28,0,466.28,Cancelled,
76,873,71,2025-05-26 11:10:12,188.6,18.86,169.74,Delivered,
77,118,183,2025-05-01 15:29:30,190.05,0,190.05,Delivered,5
78,877,59,2025-05-25 20:10:43,1259.92,0,1259.92,Delivered,3
79,608,104,2025-11-05 17:34:43,618.18,92.73,525.45,Delivered,5
80,35,103,2025-11-01 23:28:40,576.08,0,576.08,Delivered,5
81,921,62,2025-03-22 20:06:49,109.38,0,109.38,Cancelled,
82,6,176,2025-04-21 21:59:36,591.44,0,591.44,Delivered,4
83,550,107,2025-05-21 11:00:37,606.32,0,606.32,Delivered,5
84,670,76,2025-08-31 00:45:56,729.37,0,729.37,Delivered,4
85,533,196,2025-10-30 23:19:18,463.04,0,463.04,Delivered,5
86,516,51,2025-10-25 20:11:58,457.74,0,457.74,Delivered,4
87,868,69,2025-05-04 16:50:52,197.48,9.87,187.61,Delivered,4
88,774,122,2025-11-22 16:15:15,251.47,0,251.47,Cancelled,
89,146,58,2025-12-16 07:17:40,441.32,0,441.32,Delivered,3
90,740,95,2025-01-14 23:27:11,268.1,40.22,227.88,Delivered,2
91,754,79,2025-03-31 16:31:16,124.03,6.2,117.83,Delivered,5
92,378,156,2025-03-04 13:35:07,317.43,0,317.43,Delivered,4
93,33,77,2025-05-06 11:48:31,69.56,0,69.56,Delivered,
94,243,27,2025-03-04 12:15:37,1456.25,0,1456.25,Cancelled,
95,927,123,2025-06-04 19:45:56,1074.47,0,1074.47,Delivered,
96,18,152,2025-03-08 19:24:28,1151.04,0,1151.04,Delivered,
97,858,7,2025-04-06 20:40:58,1230.71,0,1230.71,Delivered,4
98,806,195,2025-01-12 19:13:24,192.28,0,192.28,Cancelled,
99,720,69,2025-08-27 20:12:46,1113.24,111.32,1001.92,Delivered,
100,722,34,2025-05-28 09:16:44,566.76,0,566.76,Delivered,2
101,33,70,2025-11-27 19:15:55,578.93,0,578.93,Cancelled,
102,8,38,2025-04-17 23:58:02,316.01,0,316.01,Delivered,3
103,474,120,2025-11-02 22:21:29,891.26,133.69,757.57,Delivered,3
104,994,47,2025-03-29 22:44:27,63.54,0,63.54,Delivered,2
105,380,178,2025-06-27 18:21:21,761.25,0,761.25,Cancelled,
106,115,193,2025-03-11 22:32:05,120.99,24.2,96.79,Delivered,
107,61,191,2025-04-19 22:38:20,445.13,0,445.13,Delivered,4
108,503,58,2025-07-02 10:28:07,277.08,55.42,221.66,Delivered,3
109,216,54,2025-05-26 09:56:39,49.85,7.48,42.37,Delivered,
110,579,155,2025-11-16 13:47:26,423.34,0,423.34,Delivered,4
111,229,88,2025-10-17 12:44:53,525.81,0,525.81,Delivered,3
112,19,166,2025-08-31 13:38:36,52.47,0,52.47,Delivered,3
113,894,196,2025-06-11 21:55:48,1087.99,0,1087.99,Delivered,
114,840,34,2025-07-27 20:29:59,136.24,0,136.24,Delivered,4
115,459,151,2025-02-20 20:18:19,358.26,35.83,322.43,Delivered,5
116,146,130,2025-07-10 00:02:08,222.26,0,222.26,Delivered,2
117,174,95,2025-06-21 08:55:40,672.78,0,672.78,Delivered,3
118,131,142,2025-08-08 12:12:38,397.36,0,397.36,Delivered,
119,122,4,2025-10-12 20:21:07,413.76,0,413.76,Delivered,5
120,176,80,2025-08-21 09:27:03,797.09,159.42,637.67,Delivered,5
121,1,37,2025-04-23 12:21:39,108.59,0,108.59,Delivered,3
122,721,78,2025-10-24 08:45:39,734.84,110.23,624.61,Delivered,
123,925,150,2025-09-13 11:41:31,444.7,0,444.7,Cancelled,
124,175,196,2025-08-03 17:14:54,592.84,0,592.84,Delivered,4
125,158,140,2025-07-29 12:03:41,95.79,0,95.79,Cancelled,
126,661,20,2025-12-08 19:24:54,444.96,0,444.96,Delivered,
127,642,38,2025-04-03 18:09:08,248.44,0,248.44,Cancelled,
128,241,155,2025-06-03 16:39:10,546.63,0,546.63,Delivered,4
129,948,79,2025-01-20 20:02:49,265.18,0,265.18,Delivered,
130,527,72,2025-02-28 14:50:30,503.9,0,503.9,Delivered,5
131,958,9,2025-11-18 15:47:57,221.32,0,221.32,Delivered,5
132,471,122,2025-01-20 17:25:19,427.6,0,427.6,Delivered,5
133,548,30,2025-12-06 11:32:41,662.13,0,662.13,Delivered,5
134,554,45,2025-07-20 21:05:23,469.29,70.39,398.9,Delivered,4
135,151,106,2025-12-22 13:05:33,180.05,0,180.05,Cancelled,
136,341,8,2025-11-27 16:49:37,583.35,0,583.35,Delivered,5
137,607,41,2025-12-31 09:00:23,850.63,42.53,808.1,Delivered,
138,819,40,2025-02-24 19:53:09,61.9,12.38,49.52,Delivered,
139,38,162,2025-06-08 19:26:59,837.47,0,837.47,Cancelled,
140,570,174,2025-10-15 18:11:22,211.28,31.69,179.59,Delivered,3
141,856,173,2025-09-17 20:07:42,689.34,103.4,585.94,Cancelled,
142,650,198,2025-11-20 19:21:43,214.62,0,214.62,Delivered,3
143,842,160,2025-01-21 11:33:39,545.01,0,545.01,Delivered,
144,499,172,2025-11-21 17:29:55,613.89,0,613.89,Delivered,5
145,773,178,2025-05-30 13:24:58,764.39,76.44,687.95,Delivered,
146,113,32,2025-11-27 18:15:28,375.8,0,375.8,Delivered,
147,532,55,2025-01-13 11:23:17,213.66,21.37,192.29,Delivered,4
148,139,95,2025-04-18 10:50:55,566.12,0,566.12,Delivered,
149,162,75,2025-12-25 19:24:10,349.26,34.93,314.33,Delivered,3
150,949,165,2025-06-17 21:55:46,556.91,83.54,473.37,Delivered,
151,242,62,2025-09-08 14:28:09,315.63,0,315.63,Delivered,
152,583,163,2025-10-26 00:58:33,98.56,14.78,83.78,Delivered,4
