payment_id,order_id,payment_method,payment_status,payment_date,amount
1,1,COD,Success,2025-07-27 11:28:48,1631.0
2,2,Credit Card,Success,2025-06-20 15:32:08,373.12
3,3,Wallet,Success,2025-01-16 08:33:41,186.74
4,4,COD,Success,2025-06-09 11:00:17,424.42
5,5,Debit Card,Success,2025-12-22 12:17:55,849.6
6,6,Wallet,Success,2025-05-17 19:54:19,1077.84
7,7,Credit Card,Refunded,2025-07-06 18:14:47,57.91
8,8,COD,Success,2025-05-02 13:07:45,340.15
9,9,Debit Card,Success,2025-08-19 21:39:44,238.91
10,10,Credit Card,Success,2025-10-06 16:32:28,287.11
11,11,Wallet,Success,2025-09-15 11:53:13,292.1
12,12,Credit Card,Success,2025-01-13 07:36:15,200.95
13,13,Wallet,Success,2025-04-17 14:05:32,310.76
14,14,UPI,Failed,2025-11-04 14:01:18,368.56
15,15,UPI,Success,2025-02-18 13:33:37,260.31
16,16,UPI,Success,2025-05-21 13:34:46,1265.45
17,17,Wallet,Success,2025-07-12 12:37:12,964.84
18,18,Debit Card,Success,2025-11-29 18:25:37,379.42
19,19,Wallet,Success,2025-06-29 14:10:12,1271.99
20,20,UPI,Success,2025-12-07 18:41:55,601.76
21,21,Wallet,Success,2025-11-18 21:43:39,594.97
22,22,Credit Card,Success,2025-04-09 13:36:33,568.7
23,23,COD,Success,2025-11-25 13:28:21,224.21
24,24,UPI,Success,2025-06-25 16:25:37,875.59
25,25,UPI,Success,2025-11-10 20:05:52,558.39
26,26,Wallet,Success,2025-04-16 20:47:55,224.56
27,27,Credit Card,Success,2025-07-12 23:04:06,779.75
28,28,Wallet,Success,2025-06-02 20:10:19,210.26
29,29,Debit Card,Failed,2025-11-16 12:05:55,882.65
30,30,UPI,Success,2025-04-15 18:43:56,890.71
31,31,UPI,Success,2025-11-12 14:06:16,197.78
32,32,UPI,Success,2025-11-12 20:08:58,1022.77
33,33,COD,Success,2025-07-14 19:30:19,93.55
34,34,UPI,Success,2025-09-03 11:46:45,942.28
