restaurant_id,name,city,cuisine_type,rating,avg_delivery_time,is_active,partner_since
1,Sushi Spot - Ahm,Ahmedabad,North Indian,2.9,38,True,2023-06-20
2,Ice Cream Dreams - Luc,Lucknow,Healthy,3.2,31,True,2024-12-10
3,Veg Delight - Che,Chennai,Chinese,2.9,27,True,2023-11-21
4,Noodle Bar - Mum,Mumbai,Fast Food,3.4,33,True,2023-02-05
5,Rolls & More - Del,Delhi,Biryani,2.9,48,True,2023-06-16
6,Paneer Point - Del,Delhi,North Indian,3.5,51,True,2024-04-14
7,BBQ Nation Lite - Del,Delhi,North Indian,4.8,54,False,2023-12-06
8,Thali Express - Pun,Pune,Desserts,4.7,29,True,2025-01-16
9,BBQ Nation Lite - Luc,Lucknow,Biryani,4.2,50,True,2023-05-23
10,Rolls & More - Hyd,Hyderabad,Fast Food,2.6,34,True,2023-04-05
11,Chai & Chaat - Mum,Mumbai,Italian,3.9,34,True,2025-02-24
12,Green Bowl - Del,Delhi,South Indian,3.8,48,True,2023-03-31
13,Idli Factory - Ban,Bangalore,Desserts,3.3,52,False,2024-11-13
14,Sushi Spot - Ban,Bangalore,Street Food,3.4,43,True,2023-12-20
15,Sushi Spot - Del,Delhi,Desserts,4.6,25,True,2024-03-30
16,Coffee Culture - Ahm,Ahmedabad,Desserts,3.2,47,True,2024-02-29
17,Burger Barn - Jai,Jaipur,Continental,2.7,33,True,2024-06-21
18,Chai & Chaat - Mum,Mumbai,Continental,4.3,25,True,2024-10-16
19,BBQ Nation Lite - Del,Delhi,Chinese,3.8,28,True,2024-01-26
20,Kebab King - Hyd,Hyderabad,North Indian,4.5,39,True,2023-11-08
21,Momos Junction - Hyd,Hyderabad,Desserts,3.0,20,True,2023-11-04
22,Thali Express - Jai,Jaipur,Desserts,2.8,38,True,2024-05-18
23,BBQ Nation Lite - Pun,Pune,Italian,2.6,37,True,2023-03-10
24,Ice Cream Dreams - Pun,Pune,Continental,3.7,47,True,2024-10-05
25,Rolls & More - Ban,Bangalore,South Indian,3.4,21,True,2023-06-16
26,Noodle Bar - Mum,Mumbai,Biryani,3.6,28,True,2023-02-24
27,Green Bowl - Ban,Bangalore,Biryani,2.6,38,True,2023-03-20
28,Idli Factory - Del,Delhi,Chinese,4.3,30,True,2023-11-20
29,Paratha Plaza - Jai,Jaipur,Fast Food,3.2,43,True,2024-08-16
30,Sushi Spot - Kol,Kolkata,North Indian,2.8,38,True,2024-05-11
